,FIPST,YEAR,V33,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,PPR,PPE
0,1,1990,723301.0,4290908118.158046,465133829.5267555,2735069789.0649915,1090704499.566299,4564815369.009503,5932.396219773021,6311.0867661036045
1,1,1992,725695.0,4447585422.79071,505001924.72086936,2754394458.5164504,1188189039.553391,4410444553.961277,6128.725460132301,6077.545737481004
2,1,1995,727480.0,5147992793.363774,502895307.41824335,3304203342.7266755,1340894143.2188556,5126475538.975171,7076.473295985833,7046.895500873112
3,1,1996,735912.0,4997940131.125811,497338495.44681764,3176469712.434917,1324131923.2440763,5305633589.55212,6791.491552150001,7209.603307939156
4,1,1997,737386.0,5778750195.815596,545977290.5201951,3626564897.6196656,1606208007.6757345,5752388868.0510845,7836.804869926464,7801.055170631236
5,1,1998,739321.0,5917289031.974335,534706354.0744337,3701140109.00005,1681442568.8998513,6066625467.003219,8003.68044729466,8205.671781273924
6,1,1999,737639.0,6253509315.028264,549747949.4096752,3849617375.408974,1854143990.209615,6465053786.007302,8477.736826588973,8764.522735385875
7,1,2000,730184.0,6609808209.806911,576275217.4457996,4063645460.6029816,1969887531.7581306,6768562644.935638,9052.250131209272,9269.667159148432
8,1,2001,728532.0,6358446935.622177,613288466.0909263,3788582098.766943,1956576370.7643075,6691435667.7452,8727.752433142507,9184.820526408173
9,1,2002,726367.0,6642024441.100301,658463961.6052814,3899540334.37804,2084020145.1169791,6666970761.26245,9144.171529131005,9178.515490464806
10,1,2003,727900.0,6580063880.49377,718916428.7383918,3757259742.1449594,2103887709.6104186,6710344245.535672,9039.791015927696,9218.772146635078
11,1,2004,730418.0,6605900269.03953,771657953.7677578,3664889961.7047553,2169352353.5670166,6722026487.013588,9043.999831657393,9202.98580677583
12,1,2005,729340.0,7025949052.063151,794359100.9771707,3873911183.089395,2357678767.996586,7043481818.664389,9633.297299014384,9657.336521600884
13,1,2006,743265.0,7354199831.995368,843709290.3641849,4091288384.713322,2419202156.9178615,7616981893.292958,9894.451954545644,10248.002923981296
14,1,2007,743273.0,7942335036.125827,774198574.0656859,4573865881.786126,2594270580.2740145,8085495124.054049,10685.622962391782,10878.230642111375
15,1,2008,742917.0,8359754511.40643,769724329.580861,5030270559.524776,2559759622.3007936,8490864654.650626,11252.608987822907,11429.08919118909
16,1,2009,745668.0,7803411318.774072,791369123.0320021,4518374072.209377,2493668123.5326924,8486500683.835032,10464.99423171448,11381.071313017364
17,1,2010,748859.0,7778634417.949272,1211614349.5511672,4059822922.3094015,2507196981.564576,8170194362.476009,10387.315126010733,10910.190519812155
18,1,2011,738255.0,7639666973.430837,1115461889.2136226,4106967527.3454137,2417237397.382498,7675959074.94532,10348.27664347798,10397.43594685484
19,1,2012,744553.0,7241493279.410234,801525423.9992148,4006492049.1475286,2433475645.9490557,7327953492.612748,9725.960783732298,9842.084435376324
20,1,2013,744476.0,7207922926.0,811964926.0,3898396926.0,2497560926.0,7447860926.0,9681.874131603974,10004.16524642836
21,9,1990,447787.0,5952475295.073028,201428610.16327572,2092323975.837107,3658722709.0726447,6186494421.413993,13293.095366933447,13815.707962522343
22,9,1992,464458.0,6365799813.796174,238311858.8133982,2228915332.233638,3898572622.749138,6178254281.345764,13705.867513954272,13302.073128992857
23,9,1995,489513.0,6756011228.666738,225439675.71366066,2480692536.754894,4049879016.1981835,6500563582.338946,13801.495013751908,13279.65464112076
24,9,1996,499815.0,6959787799.981405,240929755.4616938,2529587176.1422806,4189270868.377431,6740285343.47572,13924.727749230025,13485.560344278825
25,9,1997,507838.0,6949511562.747897,229962093.6065829,2495796875.171322,4223752593.9699926,6738124597.640431,13684.504827814968,13268.256014005316
26,9,1998,491963.0,6793451567.003219,230321325.361689,2342619574.045294,4220510667.596236,6497201040.933488,13808.866859912674,13206.686358391766
27,9,1999,523917.0,7653890778.600879,303601502.4088248,2914298356.9188046,4435990919.27325,7385996104.412425,14608.97580838354,14097.645436991785
28,9,2000,531286.0,7971466685.748308,327798484.51897025,3118324014.9051495,4525344186.324188,7598857134.044717,15004.097013187451,14302.761853398577
29,9,2001,539486.0,8354208512.165852,348284434.5938442,3162363462.0340743,4843560615.537933,7902487975.021179,15485.496402438343,14648.17988793255
30,9,2002,549739.0,8632404580.67871,383908092.91174424,3245518584.285383,5002977903.481584,8411819639.205466,15702.732716213895,15301.478773027682
31,9,2003,554379.0,8840969835.23216,456520746.09966016,3163273316.4439406,5221175601.730248,8574455956.79728,15947.519359918326,15466.776261000652
32,9,2004,554785.0,9006187853.057442,453207491.4144533,3131583302.6714015,5421396960.304508,8771463806.794315,16233.654213898071,15810.56410464291
33,9,2005,555182.0,9454315955.589928,487840949.79320663,3469437247.802431,5497037757.994289,8924219950.392572,17029.21916702978,16074.404340184972
34,9,2006,552642.0,9780964162.382702,451070242.6232895,3664940810.061592,5664953109.69782,9259689585.618616,17698.55378777346,16755.312816649144
35,9,2007,556588.0,10057016681.526009,437746132.8221552,3741061318.7665806,5878209229.937272,9816261589.102404,18069.0505032915,17636.495197708908
36,9,2008,552426.0,10134739198.44753,422190588.27115333,3847997334.49836,5864551275.678018,9854163881.424583,18345.87654898128,17837.979894908247
37,9,2009,547997.0,10595254345.326601,442595329.5216364,3965221936.917252,6187437078.8877125,10204672781.489904,19334.511585513425,18621.76760363634
38,9,2010,555622.0,10473439263.938246,881068349.6240022,3517712783.116851,6074658097.010561,10296763854.699924,18849.936222716606,18531.958516221326
39,9,2011,550709.0,10219709952.152887,828024946.8107026,3370772219.975299,6020912754.297542,9885549829.373396,18557.368686825324,17950.58702395166
40,9,2012,544060.0,10304636485.003313,520496312.6337642,3860466970.8720226,5923673171.058076,10042978974.550982,18940.257480798646,18459.322454418594
