,STATES,YEAR,READING,FIPST,REFORM
0,Alabama,1992,207,1,0
1,Alabama,1994,208,1,0
2,Alabama,1998,211,1,0
3,Alabama,2002,207,1,0
4,Alabama,2003,207,1,0
5,Alabama,2005,208,1,0
6,Alabama,2007,216,1,0
7,Alabama,2009,216,1,0
8,Alabama,2011,220,1,0
9,Alabama,2013,219,1,0
10,Alaska,2003,212,2,1
11,Alaska,2005,211,2,1
12,Alaska,2007,214,2,1
13,Alaska,2009,211,2,1
14,Alaska,2011,208,2,1
15,Alaska,2013,209,2,1
16,Arizona,1992,209,4,1
17,Arizona,1994,206,4,1
18,Arizona,1998,207,4,1
19,Arizona,2002,205,4,1
20,Arizona,2003,209,4,1
21,Arizona,2005,207,4,1
22,Arizona,2007,210,4,1
23,Arizona,2009,210,4,1
24,Arizona,2011,212,4,1
25,Arizona,2013,213,4,1
26,Arkansas,1992,211,5,1
27,Arkansas,1994,209,5,1
28,Arkansas,1998,209,5,1
29,Arkansas,2002,213,5,1
30,Arkansas,2003,214,5,1
31,Arkansas,2005,217,5,1
32,Arkansas,2007,217,5,1
33,Arkansas,2009,216,5,1
34,Arkansas,2011,217,5,1
35,Arkansas,2013,219,5,1
36,California,1992,202,6,1
37,California,1994,197,6,1
38,California,1998,202,6,1
39,California,2002,206,6,1
40,California,2003,206,6,1
41,California,2005,207,6,1
42,California,2007,209,6,1
43,California,2009,210,6,1
44,California,2011,211,6,1
45,California,2013,213,6,1
46,Colorado,1992,217,8,1
47,Colorado,1994,213,8,1
48,Colorado,1998,222,8,1
49,Colorado,2003,224,8,1
50,Colorado,2005,224,8,1
51,Colorado,2007,224,8,1
52,Colorado,2009,226,8,1
53,Colorado,2011,223,8,1
54,Colorado,2013,227,8,1
55,Connecticut,1992,222,9,0
56,Connecticut,1994,222,9,0
57,Connecticut,1998,232,9,0
58,Connecticut,2002,229,9,0
59,Connecticut,2003,228,9,0
60,Connecticut,2005,226,9,0
61,Connecticut,2007,227,9,0
62,Connecticut,2009,229,9,0
63,Connecticut,2011,227,9,0
64,Connecticut,2013,230,9,0
65,Delaware,1992,213,10,0
66,Delaware,1994,206,10,0
67,Delaware,1998,212,10,0
68,Delaware,2002,224,10,0
69,Delaware,2003,224,10,0
70,Delaware,2005,226,10,0
71,Delaware,2007,225,10,0
72,Delaware,2009,226,10,0
73,Delaware,2011,225,10,0
74,Delaware,2013,226,10,0
75,Florida,1992,208,12,0
76,Florida,1994,205,12,0
77,Florida,1998,207,12,0
78,Florida,2002,214,12,0
79,Florida,2003,218,12,0
80,Florida,2005,219,12,0
81,Florida,2007,224,12,0
82,Florida,2009,226,12,0
83,Florida,2011,225,12,0
84,Florida,2013,227,12,0
85,Georgia,1992,212,13,0
86,Georgia,1994,207,13,0
87,Georgia,1998,210,13,0
88,Georgia,2002,215,13,0
89,Georgia,2003,214,13,0
90,Georgia,2005,214,13,0
91,Georgia,2007,219,13,0
92,Georgia,2009,218,13,0
93,Georgia,2011,221,13,0
94,Georgia,2013,222,13,0
95,Hawaii,1992,203,15,0
96,Hawaii,1994,201,15,0
97,Hawaii,1998,200,15,0
98,Hawaii,2002,208,15,0
99,Hawaii,2003,208,15,0
100,Hawaii,2005,210,15,0
101,Hawaii,2007,213,15,0
102,Hawaii,2009,211,15,0
103,Hawaii,2011,214,15,0
104,Hawaii,2013,215,15,0
105,Idaho,1992,219,16,1
106,Idaho,2002,220,16,1
107,Idaho,2003,218,16,1
108,Idaho,2005,222,16,1
109,Idaho,2007,223,16,1
110,Idaho,2009,221,16,1
111,Idaho,2011,221,16,1
112,Idaho,2013,219,16,1
113,Illinois,2003,216,17,0
114,Illinois,2005,216,17,0
115,Illinois,2007,219,17,0
116,Illinois,2009,219,17,0
117,Illinois,2011,219,17,0
118,Illinois,2013,219,17,0
119,Indiana,1992,221,18,1
120,Indiana,1994,220,18,1
121,Indiana,2002,222,18,1
122,Indiana,2003,220,18,1
123,Indiana,2005,218,18,1
124,Indiana,2007,222,18,1
125,Indiana,2009,223,18,1
126,Indiana,2011,221,18,1
127,Indiana,2013,225,18,1
128,Iowa,1992,225,19,0
129,Iowa,1994,223,19,0
130,Iowa,1998,223,19,0
131,Iowa,2002,223,19,0
132,Iowa,2003,223,19,0
133,Iowa,2005,221,19,0
134,Iowa,2007,225,19,0
135,Iowa,2009,221,19,0
136,Iowa,2011,221,19,0
137,Iowa,2013,224,19,0
138,Kansas,1998,222,20,1
139,Kansas,2002,222,20,1
140,Kansas,2003,220,20,1
141,Kansas,2005,220,20,1
142,Kansas,2007,225,20,1
143,Kansas,2009,224,20,1
144,Kansas,2011,224,20,1
145,Kansas,2013,223,20,1
146,Kentucky,1992,213,21,1
147,Kentucky,1994,212,21,1
148,Kentucky,1998,218,21,1
149,Kentucky,2002,219,21,1
150,Kentucky,2003,219,21,1
151,Kentucky,2005,220,21,1
152,Kentucky,2007,222,21,1
153,Kentucky,2009,226,21,1
154,Kentucky,2011,225,21,1
155,Kentucky,2013,224,21,1
156,Louisiana,1992,204,22,0
157,Louisiana,1994,197,22,0
158,Louisiana,1998,204,22,0
159,Louisiana,2002,207,22,0
160,Louisiana,2003,205,22,0
161,Louisiana,2005,209,22,0
162,Louisiana,2007,207,22,0
163,Louisiana,2009,207,22,0
164,Louisiana,2011,210,22,0
165,Louisiana,2013,210,22,0
166,Maine,1992,227,23,0
167,Maine,1994,228,23,0
168,Maine,1998,225,23,0
169,Maine,2002,225,23,0
170,Maine,2003,224,23,0
171,Maine,2005,225,23,0
172,Maine,2007,226,23,0
173,Maine,2009,224,23,0
174,Maine,2011,222,23,0
175,Maine,2013,225,23,0
176,Maryland,1992,211,24,1
177,Maryland,1994,210,24,1
178,Maryland,1998,215,24,1
179,Maryland,2002,217,24,1
180,Maryland,2003,219,24,1
181,Maryland,2005,220,24,1
182,Maryland,2007,225,24,1
183,Maryland,2009,226,24,1
184,Maryland,2011,231,24,1
185,Maryland,2013,232,24,1
186,Massachusetts,1992,226,25,1
187,Massachusetts,1994,223,25,1
188,Massachusetts,1998,225,25,1
189,Massachusetts,2002,234,25,1
190,Massachusetts,2003,228,25,1
191,Massachusetts,2005,231,25,1
192,Massachusetts,2007,236,25,1
193,Massachusetts,2009,234,25,1
194,Massachusetts,2011,237,25,1
195,Massachusetts,2013,232,25,1
196,Michigan,1992,216,26,0
197,Michigan,1998,217,26,0
198,Michigan,2002,219,26,0
199,Michigan,2003,219,26,0
200,Michigan,2005,218,26,0
201,Michigan,2007,220,26,0
202,Michigan,2009,218,26,0
203,Michigan,2011,219,26,0
204,Michigan,2013,217,26,0
205,Minnesota,1992,221,27,0
206,Minnesota,1994,218,27,0
207,Minnesota,1998,222,27,0
208,Minnesota,2002,225,27,0
209,Minnesota,2003,223,27,0
210,Minnesota,2005,225,27,0
211,Minnesota,2007,225,27,0
212,Minnesota,2009,223,27,0
213,Minnesota,2011,222,27,0
214,Minnesota,2013,227,27,0
215,Mississippi,1992,199,28,0
216,Mississippi,1994,202,28,0
217,Mississippi,1998,204,28,0
218,Mississippi,2002,203,28,0
219,Mississippi,2003,205,28,0
220,Mississippi,2005,204,28,0
221,Mississippi,2007,208,28,0
222,Mississippi,2009,211,28,0
223,Mississippi,2011,209,28,0
224,Mississippi,2013,209,28,0
225,Missouri,1992,220,29,1
226,Missouri,1994,217,29,1
227,Missouri,1998,216,29,1
228,Missouri,2002,220,29,1
229,Missouri,2003,222,29,1
230,Missouri,2005,221,29,1
231,Missouri,2007,221,29,1
232,Missouri,2009,224,29,1
233,Missouri,2011,220,29,1
234,Missouri,2013,222,29,1
235,Montana,1994,222,30,1
236,Montana,1998,226,30,1
237,Montana,2002,224,30,1
238,Montana,2003,223,30,1
239,Montana,2005,225,30,1
240,Montana,2007,227,30,1
241,Montana,2009,225,30,1
242,Montana,2011,225,30,1
243,Montana,2013,223,30,1
244,Nebraska,1992,221,31,0
245,Nebraska,1994,220,31,0
246,Nebraska,2002,222,31,0
247,Nebraska,2003,221,31,0
248,Nebraska,2005,221,31,0
249,Nebraska,2007,223,31,0
250,Nebraska,2009,223,31,0
251,Nebraska,2011,223,31,0
252,Nebraska,2013,223,31,0
253,Nevada,1998,208,32,0
254,Nevada,2002,209,32,0
255,Nevada,2003,207,32,0
256,Nevada,2005,207,32,0
257,Nevada,2007,211,32,0
258,Nevada,2009,211,32,0
259,Nevada,2011,213,32,0
260,Nevada,2013,214,32,0
261,New Hampshire,1992,228,33,1
262,New Hampshire,1994,223,33,1
263,New Hampshire,1998,226,33,1
264,New Hampshire,2003,228,33,1
265,New Hampshire,2005,227,33,1
266,New Hampshire,2007,229,33,1
267,New Hampshire,2009,229,33,1
268,New Hampshire,2011,230,33,1
269,New Hampshire,2013,232,33,1
270,New Jersey,1992,223,34,1
271,New Jersey,1994,219,34,1
272,New Jersey,2003,225,34,1
273,New Jersey,2005,223,34,1
274,New Jersey,2007,231,34,1
275,New Jersey,2009,229,34,1
276,New Jersey,2011,231,34,1
277,New Jersey,2013,229,34,1
278,New Mexico,1992,211,35,1
279,New Mexico,1994,205,35,1
280,New Mexico,1998,206,35,1
281,New Mexico,2002,208,35,1
282,New Mexico,2003,203,35,1
283,New Mexico,2005,207,35,1
284,New Mexico,2007,212,35,1
285,New Mexico,2009,208,35,1
286,New Mexico,2011,208,35,1
287,New Mexico,2013,206,35,1
288,New York,1992,215,36,1
289,New York,1994,212,36,1
290,New York,1998,216,36,1
291,New York,2002,222,36,1
292,New York,2003,222,36,1
293,New York,2005,223,36,1
294,New York,2007,224,36,1
295,New York,2009,224,36,1
296,New York,2011,222,36,1
297,New York,2013,224,36,1
298,North Carolina,1992,212,37,1
299,North Carolina,1994,214,37,1
300,North Carolina,1998,217,37,1
301,North Carolina,2002,222,37,1
302,North Carolina,2003,221,37,1
303,North Carolina,2005,217,37,1
304,North Carolina,2007,218,37,1
305,North Carolina,2009,219,37,1
306,North Carolina,2011,221,37,1
307,North Carolina,2013,222,37,1
308,North Dakota,1992,226,38,1
309,North Dakota,1994,225,38,1
310,North Dakota,2002,224,38,1
311,North Dakota,2003,222,38,1
312,North Dakota,2005,225,38,1
313,North Dakota,2007,226,38,1
314,North Dakota,2009,226,38,1
315,North Dakota,2011,226,38,1
316,North Dakota,2013,224,38,1
317,Ohio,1992,217,39,1
318,Ohio,2002,222,39,1
319,Ohio,2003,222,39,1
320,Ohio,2005,223,39,1
321,Ohio,2007,226,39,1
322,Ohio,2009,225,39,1
323,Ohio,2011,224,39,1
324,Ohio,2013,224,39,1
325,Oklahoma,1992,220,40,0
326,Oklahoma,1998,220,40,0
327,Oklahoma,2002,213,40,0
328,Oklahoma,2003,214,40,0
329,Oklahoma,2005,214,40,0
330,Oklahoma,2007,217,40,0
331,Oklahoma,2009,217,40,0
332,Oklahoma,2011,215,40,0
333,Oklahoma,2013,217,40,0
334,Oregon,1998,214,41,0
335,Oregon,2002,220,41,0
336,Oregon,2003,218,41,0
337,Oregon,2005,217,41,0
338,Oregon,2007,215,41,0
339,Oregon,2009,218,41,0
340,Oregon,2011,216,41,0
341,Oregon,2013,219,41,0
342,Pennsylvania,1992,221,42,0
343,Pennsylvania,1994,215,42,0
344,Pennsylvania,2002,221,42,0
345,Pennsylvania,2003,219,42,0
346,Pennsylvania,2005,223,42,0
347,Pennsylvania,2007,226,42,0
348,Pennsylvania,2009,224,42,0
349,Pennsylvania,2011,227,42,0
350,Pennsylvania,2013,226,42,0
351,Rhode Island,1992,217,44,0
352,Rhode Island,1994,220,44,0
353,Rhode Island,1998,218,44,0
354,Rhode Island,2002,220,44,0
355,Rhode Island,2003,216,44,0
356,Rhode Island,2005,216,44,0
357,Rhode Island,2007,219,44,0
358,Rhode Island,2009,223,44,0
359,Rhode Island,2011,222,44,0
360,Rhode Island,2013,223,44,0
361,South Carolina,1992,210,45,0
362,South Carolina,1994,203,45,0
363,South Carolina,1998,210,45,0
364,South Carolina,2002,214,45,0
365,South Carolina,2003,215,45,0
366,South Carolina,2005,213,45,0
367,South Carolina,2007,214,45,0
368,South Carolina,2009,216,45,0
369,South Carolina,2011,215,45,0
370,South Carolina,2013,214,45,0
371,South Dakota,2003,222,46,0
372,South Dakota,2005,222,46,0
373,South Dakota,2007,223,46,0
374,South Dakota,2009,222,46,0
375,South Dakota,2011,220,46,0
376,South Dakota,2013,218,46,0
377,Tennessee,1992,212,47,1
378,Tennessee,1994,213,47,1
379,Tennessee,1998,212,47,1
380,Tennessee,2002,214,47,1
381,Tennessee,2003,212,47,1
382,Tennessee,2005,214,47,1
383,Tennessee,2007,216,47,1
384,Tennessee,2009,217,47,1
385,Tennessee,2011,215,47,1
386,Tennessee,2013,220,47,1
387,Texas,1992,213,48,1
388,Texas,1994,212,48,1
389,Texas,1998,217,48,1
390,Texas,2002,217,48,1
