,FIPST,YEAR,V33,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,PPR,PPE
0,2,1990,106569.0,1759376167.367179,201364424.0162,1176464323.853562,381547419.4974169,1725703401.4318514,16509.267867458446,16193.296375417349
1,2,1992,117359.0,1742557721.8909607,177280368.08706492,1196541625.985865,368735727.8180306,1614547818.434493,14848.09619961793,13757.341306883092
2,2,1995,111467.0,1378186640.8071744,114670531.75380069,854518583.6459584,408997525.4074154,1500020927.7343318,12364.077626626487,13457.08530537587
3,2,1996,111856.0,1353025433.59898,118131593.8423122,838609854.6700671,396283985.08660084,1516852855.1933908,12096.136403938814,13560.764332654402
4,2,1997,113762.0,1344186800.9708233,130693495.33018377,808110246.9629321,405383058.6777074,1503991828.6522686,11815.780321819442,13220.5114946315
5,2,1998,115973.0,1423962408.642196,130440722.81069471,877998943.3030007,415522742.5285005,1442459398.7526195,12278.395908032006,12437.889842917055
6,2,1999,133508.0,1738667482.1626892,261735656.7136925,1035126601.6584119,441805223.79058474,1804063286.8977933,13022.946056885648,13512.772919209287
7,2,2000,132822.0,1776952529.4546075,269915007.6050136,1047351778.0149053,459685743.8346884,1876243383.875339,13378.450327917117,14125.998583633276
8,2,2001,131985.0,1743885062.6153052,301672406.13704824,964348914.1213292,477863742.35692775,1845639769.3500566,13212.75192344058,13983.708522559811
9,2,2002,133010.0,1784353477.8758395,322768757.31758165,1001657826.1431549,459926894.415103,1972869019.5019689,13415.18290260762,14832.486425847444
10,2,2003,133303.0,1805760473.2865229,328522357.9411098,1030018767.8074744,447219347.5379388,2039202149.5651186,13546.285329561397,15297.496302147129
11,2,2004,133153.0,1821828403.211859,353286107.7362569,998769834.9289683,469772460.54663366,2031616812.0753548,13682.218224237222,15257.76221395954
12,2,2005,132568.0,1908276670.968636,361255152.68188596,1048209656.2982715,498811861.98847866,2089567481.6428413,14394.700613787913,15762.231320098675
13,2,2006,132893.0,1877991361.2211149,334953207.67020786,1061958423.9427884,481079729.6081186,2100463016.4772017,14131.604834123053,15805.67085156631
14,2,2007,132197.0,2023060492.4301944,317141070.1661381,1182363074.9878721,523556347.2761843,2178264907.6768737,15303.376721334029,16477.415581873065
15,2,2008,130624.0,2368048880.720149,328277405.63277245,1535700614.7281148,504070860.3592619,2461351815.9392014,18128.742656174585,18843.028968177372
16,2,2009,130236.0,2344338525.3087654,339512496.09430224,1474322755.6299534,530503273.5845098,2602167225.163957,18000.695086679298,19980.39885411067
17,2,2010,131661.0,2382755926.18203,392048173.07941854,1449385980.409433,541321768.419825,2530399236.9886065,18097.65933861987,19219.04920203102
18,2,2011,132104.0,2441872358.448406,435128241.38712686,1466641876.6792614,540102236.2394388,2526886370.636887,18484.469497126553,19128.008013662624
19,2,2012,131166.0,2418314848.7815733,357161282.16014355,1530001400.0131497,531152162.5496864,2519696480.2744226,18437.05570636882,19209.98185714608
20,2,2013,131489.0,2545116998.0,320937998.0,1707448998.0,516729998.0,2661954998.0,19356.121029135516,20244.69725984683
21,4,1990,705499.0,5191855188.637668,424304308.19248676,2131673649.8915746,2635877230.5536065,5278986100.34441,7359.1248019312125,7482.627332348323
22,4,1992,653936.0,5409140618.431523,494560776.6243021,2274199599.2843566,2640380242.5228643,5647384408.06509,8271.666674462827,8635.989466958677
23,4,1995,735018.0,5832551820.586786,575480688.4747893,2551770563.436508,2705300568.675489,6201064803.847204,7935.250321198646,8436.616251366911
24,4,1996,764681.0,6153726587.206461,562775895.0935076,2670968436.4334292,2919982255.6795244,6522434453.923601,8047.442773138683,8529.614903369642
25,4,1997,783552.0,6303355711.800436,588196921.98889,2768368998.681341,2946789791.130204,6432663220.12252,8044.591439751842,8209.61878742256
26,4,1998,794331.0,6681519267.194927,672251190.1385407,2859367713.043811,3149900364.012575,6754120989.484176,8411.505112094235,8502.904947036153
27,4,1999,846118.0,7331370204.571692,702508778.8833857,3336812510.575816,3292048915.112491,7325005611.473809,8664.713674182198,8657.19156367529
28,4,2000,814807.0,7412360243.004744,723246515.5487807,3356486782.655827,3332626944.800136,7301472941.903795,9097.07482017796,8960.984554506522
29,4,2001,879030.0,7809744128.962727,786117010.6786522,3592786318.8417735,3430840799.442301,8010834069.110035,8884.502382128854,9113.265837468613
30,4,2002,919662.0,8482560886.214963,851583602.9186934,4044948292.8561497,3586028990.44012,8179150069.270326,9223.563533357868,8893.647959000507
31,4,2003,945571.0,8814910722.964891,996101904.9513022,4143170906.079274,3675637911.9343143,8322769862.672705,9322.315006451014,8801.845512047963
32,4,2004,973980.0,9422998292.572575,1102085366.1056206,4459728512.214329,3861184414.2526245,8848247760.577517,9674.734894528197,9084.629828720832
33,4,2005,1004366.0,9711805949.671429,1141946377.7768292,4547523463.652655,4022336108.241945,9103784681.785788,9669.588526166186,9064.210339443776
34,4,2006,1035188.0,10095453047.01335,1187538576.0324085,4828701989.806125,4079212481.174816,9792937218.51308,9752.28948462825,9460.056741879813
35,4,2007,1062268.0,10619132852.829195,1145646976.8125107,5412075786.105028,4061410089.911655,10457141144.547926,9996.660779416488,9844.16469718369
36,4,2008,1085507.0,10891948045.937304,1139616497.6157575,5564122359.546452,4188209188.775095,11071833620.77,10033.973107439477,10199.688828142058
37,4,2009,1085291.0,10468697396.816553,1213615441.699256,4907016290.614594,4348065664.502704,11172677616.72423,9645.981950294026,10294.63767480264
38,4,2010,1076031.0,10440408275.187635,1918900333.4709642,4070157994.6627245,4451349714.156157,10345220384.17862,9702.702129573996,9614.240095479236
39,4,2011,1071471.0,9741770086.317303,1416393275.3684163,3975974955.122572,4349401551.346736,9929214549.674063,9091.958705664738,9266.89994379135
40,4,2012,1080107.0,9065468697.475952,1164950088.678609,3730634491.7351646,4169883869.4879866,9242989539.393583,8393.120956975514,8557.475823593019
41,4,2013,1089108.0,9318092890.0,1286772890.0,3893938890.0,4137380890.0,8680265890.0,8555.710627412525,7970.068983057695
42,5,1990,434507.0,2543468791.198418,254416057.5228012,1361418489.6007397,927634244.0748773,2565488205.542445,5853.688873133041,5904.365650133244
43,5,1992,436800.0,2842230264.0812445,296462861.07613724,1591797770.3557427,953969632.6493644,2893806779.7066154,6506.937417768417,6625.0155213063545
44,5,1995,447757.0,3145493908.8647046,302015112.4685551,1902472315.7852998,941006480.6108496,3294524782.3334785,7025.002197318422,7357.840932321501
45,5,1996,452907.0,3242810127.106578,285388393.2206992,1925214666.2389758,1032207067.6469027,3412120988.6223574,7159.991183855797,7533.822591883891
46,5,1997,457349.0,3419047085.7725053,316581202.07922333,2013101864.7570345,1089364018.9362476,3453351352.694424,7475.794384097277,7550.801144627898
47,5,1998,456355.0,3669072276.110627,323658026.36623883,2151411601.255048,1194002648.4893408,3624265343.333673,8039.951958695811,7941.767578603661
48,5,1999,451981.0,3754952119.6933303,324984746.01780975,2179671358.7598176,1250296014.9157033,3707185953.2142673,8307.765414239384,8202.083612395802
49,5,2000,450751.0,3848601180.6402445,344612791.0738483,2239599615.0745263,1264388774.4918702,3630180240.514906,8538.197764708775,8053.62659320757
50,5,2001,449693.0,3913505334.704443,361021205.24755275,2238019401.2612953,1314464728.195595,3883362565.109658,8702.61563934605,8635.58597778853
51,5,2002,449245.0,4077928151.797544,428958334.1556636,2235657560.5559416,1413312257.0859392,3999481027.6743107,9077.29223875067,8902.672322840122
52,5,2003,450731.0,4109893553.947904,481868165.243488,2251986996.25368,1376038392.4507358,4111496763.012457,9118.284639725034,9121.841548534396
53,5,2004,454290.0,4182575155.543545,522564280.86781955,2219016427.501544,1440994447.1741815,4371701444.842495,9206.839586043156,9623.15138973452
54,5,2005,462872.0,4756373092.314912,534197083.682526,2741079505.9248977,1481096502.7074883,4782898887.042883,10275.784865610607,10333.091841897725
