,FIPST,YEAR,V33,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,PPR,PPE
0,1,1990,723301.0,2406636000.0,260879000.0,1534015000.0,611742000.0,2560262000.0,3327.2952754109283,3539.6909447104317
1,1,1992,725695.0,2678907000.0,304177000.0,1659050000.0,715680000.0,2656536000.0,3691.5053844934855,3660.678384169658
2,1,1995,727480.0,3367437000.0,328957000.0,2161366000.0,877114000.0,3353362000.0,4628.906636608566,4609.559025677682
3,1,1996,735912.0,3365113000.0,334858000.0,2138717000.0,891538000.0,3572283000.0,4572.71113937536,4854.225776995076
4,1,1997,737386.0,3981788000.0,376200000.0,2498847000.0,1106741000.0,3963624000.0,5399.869267927517,5375.236307714006
5,1,1998,739321.0,4140537000.0,374153000.0,2589819000.0,1176565000.0,4245033000.0,5600.459069876279,5741.7995701461205
6,1,1999,737639.0,4471546000.0,393095000.0,2752653000.0,1325798000.0,4622810000.0,6061.970692981255,6267.035772240893
7,1,2000,730184.0,4885917000.0,425978000.0,3003814000.0,1456125000.0,5003267000.0,6691.350399351396,6852.063315547862
8,1,2001,728532.0,4832946000.0,466150000.0,2879636000.0,1487160000.0,5086045000.0,6633.814300538617,6981.223885841665
9,1,2002,726367.0,5128559000.0,508425000.0,3010983000.0,1609151000.0,5147821000.0,7060.561671992257,7087.079947189231
10,1,2003,727900.0,5196054000.0,567704000.0,2966981000.0,1661369000.0,5298932000.0,7138.417365022668,7279.752713284792
11,1,2004,730418.0,5356113000.0,625666000.0,2971520000.0,1758927000.0,5450269000.0,7332.942233077498,7461.849242488548
12,1,2005,729340.0,5889966000.0,665924000.0,3247562000.0,1976480000.0,5904664000.0,8075.747936490526,8095.900403104177
13,1,2006,743265.0,6364028000.0,730112000.0,3540436000.0,2093480000.0,6591429000.0,8562.259759305227,8868.208512441726
14,1,2007,743273.0,7069040000.0,689072000.0,4070949000.0,2309019000.0,7196459000.0,9510.691226507623,9682.120835816719
15,1,2008,742917.0,7726213000.0,711391000.0,4649053000.0,2365769000.0,7847387000.0,10399.833359581218,10562.939063179332
16,1,2009,745668.0,7186390000.0,728795000.0,4161103000.0,2296492000.0,7815467000.0,9637.519646813327,10481.16185755591
17,1,2010,748859.0,7281057923.0,1134110923.0,3800127923.0,2346818923.0,7647570923.0,9722.868955304002,10212.297539323157
18,1,2011,738255.0,7376724923.0,1077069923.0,3965613923.0,2334040923.0,7411767923.0,9992.10966806862,10039.577006589863
19,1,2012,744553.0,7136948921.0,789953921.0,3948650921.0,2398343921.0,7222160921.0,9585.548538519084,9699.9957303241
20,1,2013,744476.0,7207922926.0,811964926.0,3898396926.0,2497560926.0,7447860926.0,9681.874131603974,10004.16524642836
21,2,1990,106569.0,986779000.0,112939000.0,659842000.0,213998000.0,967893000.0,9259.531383422947,9082.312867719505
22,2,1992,117359.0,1049592000.0,106781000.0,720711000.0,222100000.0,972488000.0,8943.429988326418,8286.437341831474
23,2,1995,111467.0,901508000.0,75009000.0,558963000.0,267536000.0,981203000.0,8087.6672019521475,8802.632169162174
24,2,1996,111856.0,910992000.0,79538000.0,564636000.0,266818000.0,1021297000.0,8144.328422257187,9130.462380203118
25,2,1997,113762.0,926198000.0,90053000.0,556820000.0,279325000.0,1036310000.0,8141.541112146411,9109.456584799846
26,2,1998,115973.0,996397000.0,91274000.0,614367000.0,290756000.0,1009340000.0,8591.62908608038,8703.232648978641
27,2,1999,133508.0,1243227000.0,187153000.0,740163000.0,315911000.0,1289988000.0,9312.003775054678,9662.252449291429
28,2,2000,132822.0,1313509000.0,199519000.0,774194000.0,339796000.0,1386904000.0,9889.242745930644,10441.82439656081
29,2,2001,131985.0,1325497000.0,229296000.0,732985000.0,363216000.0,1402839000.0,10042.785164980869,10628.775997272418
30,2,2002,133010.0,1377767000.0,249222000.0,773418000.0,355127000.0,1523327000.0,10358.371551011202,11452.725358995564
31,2,2003,133303.0,1425948000.0,259423000.0,813371000.0,353154000.0,1610289000.0,10697.043577413862,12079.915680817387
32,2,2004,133153.0,1477152000.0,286447000.0,809810000.0,380895000.0,1647250000.0,11093.644153717903,12371.106922112156
33,2,2005,132568.0,1599739000.0,302846000.0,878731000.0,418162000.0,1751718000.0,12067.308852815158,13213.731820650533
34,2,2006,132893.0,1625138000.0,289855000.0,918976000.0,416307000.0,1817656000.0,12228.921011640945,13677.590241773456
35,2,2007,132197.0,1800616000.0,282270000.0,1052357000.0,465989000.0,1938755000.0,13620.702436515201,14665.650506441145
36,2,2008,130624.0,2188587000.0,303399000.0,1419318000.0,465870000.0,2274819000.0,16754.861281234687,17415.015617344437
37,2,2009,130236.0,2158970000.0,312667000.0,1357747000.0,488556000.0,2396412000.0,16577.36724100863,18400.53441444762
38,2,2010,131661.0,2230337998.0,366969998.0,1356672998.0,506694998.0,2368536998.0,16940.004997683445,17989.66283105855
39,2,2011,132104.0,2357827998.0,420151998.0,1416162998.0,521512998.0,2439915998.0,17848.271044025918,18469.660252528312
40,2,2012,131166.0,2383401998.0,352004998.0,1507912998.0,523483998.0,2483319998.0,18170.882683012365,18932.650214232348
